source                                                                                                                                                                       , doc_type    , loader_used                   , text_chars, ok
extractdirect\DTAD_20046645_Vergabeunterlagen_20230406\124.pdf                                                                                                               , text_doc    , pymupdf_text+pdfplumber_tables,       8091, True
extractdirect\DTAD_20046645_Vergabeunterlagen_20230406\221.pdf                                                                                                               , text_doc    , pymupdf_text+pdfplumber_tables,       5106, True
extractdirect\DTAD_20046645_Vergabeunterlagen_20230406\222.pdf                                                                                                               , text_doc    , pymupdf_text+pdfplumber_tables,       7218, True
extractdirect\DTAD_20046645_Vergabeunterlagen_20230406\Anlage_zum_FB_211_Bau_I.pdf                                                                                           , table_doc   , pymupdf_text                  ,        221, True
extractdirect\DTAD_20046645_Vergabeunterlagen_20230406\Anlage_zum_FB_211_Bau_II.pdf                                                                                          , text_doc    , pymupdf_text                  ,       4144, True
extractdirect\DTAD_20046645_Vergabeunterlagen_20230406\Ansichten.pdf                                                                                                         , text_doc    , pymupdf_text+pdfplumber_tables,      33435, True
extractdirect\DTAD_20046645_Vergabeunterlagen_20230406\EH_Informationen_nach_Artikel_13_und_14_Vergabe_.pdf                                                                  , text_doc    , pymupdf_text                  ,       7949, True
extractdirect\DTAD_20046645_Vergabeunterlagen_20230406\Grundriss.pdf                                                                                                         , text_doc    , pymupdf_text+pdfplumber_tables,      99387, True
extractdirect\DTAD_20046645_Vergabeunterlagen_20230406\LV_Los_2_-_Ger__stbau.pdf                                                                                             , text_doc    , pymupdf_text                  ,      17402, True
extractdirect\DTAD_20046645_Vergabeunterlagen_20230406\Schnitte.pdf                                                                                                          , text_doc    , pymupdf_text+pdfplumber_tables,      96187, True
extractdirect\DTAD_20046645_Vergabeunterlagen_20230406\TVergG_Eigenerkl__rung_Tarif.pdf                                                                                      , text_doc    , pymupdf_text                  ,       5066, True
extractdirect\DTAD_20046645_Vergabeunterlagen_20230406\TVergG_Eigenerkl__rung_zum_Nachunternehmereinsatz.pdf                                                                 , text_doc    , pymupdf_text                  ,       2580, True
extractdirect\DTAD_20046645_Vergabeunterlagen_20230406\TVergG_Erg__nzende_Vertragsbedingungen.pdf                                                                            , text_doc    , pymupdf_text                  ,       5463, True
extractdirect\DTAD_20046645_Vergabeunterlagen_20230406\VHB_211_Aufforderung_zur_Abgabe_eines_Angebots.pdf                                                                    , text_doc    , pymupdf_text+pdfplumber_tables,      10853, True
extractdirect\DTAD_20046645_Vergabeunterlagen_20230406\VHB_212_Teilnahmebedingungen.pdf                                                                                      , text_doc    , pymupdf_text                  ,       9093, True
extractdirect\DTAD_20046645_Vergabeunterlagen_20230406\VHB_213_Angebot.pdf                                                                                                   , text_doc    , pymupdf_text+pdfplumber_tables,       8276, True
extractdirect\DTAD_20046645_Vergabeunterlagen_20230406\VHB_214_Besondere_Vertragsbedingungen.pdf                                                                             , text_doc    , pymupdf_text+pdfplumber_tables,       5967, True
extractdirect\DTAD_20046645_Vergabeunterlagen_20230406\VHB_223_Aufgliederung_Einheitspreise.pdf                                                                              , text_doc    , pymupdf_text+pdfplumber_tables,       3411, True
extractdirect\DTAD_20046645_Vergabeunterlagen_20230406\VHB_233_Verzeichnis_NU.pdf                                                                                            , text_doc    , pymupdf_text+pdfplumber_tables,       1299, True
extractdirect\DTAD_20046645_Vergabeunterlagen_20230406\VHB_234_Bieter_Arbeitsgemeinschaft.pdf                                                                                , text_doc    , pymupdf_text+pdfplumber_tables,       1784, True
extractdirect\DTAD_20046690_Vergabeunterlagen_20230406\Baubeschreibung_RV Instandsetzung Betonfugen Ost Los 1.pdf                                                            , text_doc    , pymupdf_text                  ,      51932, True
extractdirect\DTAD_20046690_Vergabeunterlagen_20230406\Baubeschreibung_RV Instandsetzung Betonfugen West Los 2.pdf                                                           , text_doc    , pymupdf_text                  ,      51986, True
